Company,Vendor
RandD Computer Services Razvan,wave
Inlab Software GmbH,acm.org
Technical University of Madrid (UPM),es
Fox IT Ltd,foxit
ADP Dealer Services,adp
EFKON,styria
"Newpoint Technologies, Inc.",kratosdefense
"Disney Regional Entertainment, Inc.",disney
Procom Technology,procom
University of Notre Dame (Office of Information Technology),nd
Unex Technology Corporation,hinet
Cableware Electronics,aol
"FaxForward Canada, Ltd.",ca
Pepperl+Fuchs Comtrol,pepperl-fuchs
AS Proekspert,ee
General Electric Company,ge
Net Insight AB,se
Quantum Corp. (formerly 'Pathlight Technology Inc.'),quantum
Deutsche Telekom AG,telekom
PSINet UK Ltd.,psi
Ericsson Communications Ltd.,ericsson
Netwise AB,se
Teligent,se
Space & Telecommunications Systems Pte. Ltd.,rad
MediaSoft Telecom,ca
EnterNet Corporation,aol
Sendit AB,se
Dialogic Corporation,dialogic
LinickGrp.com,att
Yankee Know-How,aol
Ixia Communications,ixiacom
ice-man refrigeration,aol
"Listing Service Solutions, Inc.",ipass
Elebra Com. Dados,ibm
PRIMA Telematic,ca
"CyberTAN Technology, Inc.",hinet
WatchGuard Technologies Inc.,watchguard
Experian Information Solutions Inc.,experian
Thales Deutschland GmbH,thalesgroup
Vodafone Sweden,vodafone
WONOA,dnt
Dialog,dnt
Media Communications Eur AB,se
Comtrend Corporation,comtrend
Celo Communications AB,se
Leitch Technology International Incorporated,mars
Daewoo Electronics,phoenix
Orion Technologies Inc.,orion
Utimaco GmbH,utimaco
Xybx Inc.,wave
Cap Gemini Telecom,capgemini
NICE Systems Ltd.,nice
WebTrends Corporation,webtrends
Wired for Management,intel
"Raymond and Lae Engineering, Inc.",rletech
Caja de Ahorros del Mediterraneo,cam
EFFNET AB,se
AUDI AG,audi
Spar Aerospace Limited,ca
"A.T.I. System Co., Ltd.",ati
EXODUS Communications Inc.,exodus
Dynarc AB,se
VOLKSWAGEN AG,volkswagen
Allgon AB,se
"Crestron Electronics, Inc.",crestron
"NetScreen Technologies, Inc.",netscreen
ConNova Systems AB,se
"MAGMA, Inc.",ca
Real Time Logic Inc.,kratosdefense
Yontem Computer & Electronics,orion
Telspec,es
Altair Data System,altair
zed5,mit
Consulting Informatico de Cantabria S.L.,es
GNOME project,gnome
"Ipswitch, Inc.",ipswitch
"CA Technologies, Inc.",ca
Auburn University,eng
Philips Digital Video Systems Harry,philips
Researcher,ca
Intraplex,gatesair
"COVE Sistemas, S.L.",es
"F5 Labs, Inc.",f5
21st Century Net,21st
SandS International,aol
"McAfee Inc. (formerly 'Network Associates, Inc.')",mcafee
DERA,gov
PitchonPe,netvision
Advantech Inc.,advantech
MDSI Mobile Data Solutions Inc.,ca
Arepa Inc.,ieee
"Broadband Access Systems, Inc.",basystems
Vodafone Value Added Services Ltd,vodafone
Cybernetica,ee
"ESP, LLC",ibm
Research In Motion Ltd.,rim
Orange DK,orange
SAS Institue Inc,sas
NetLock Ltd.,netlock
Seagate Technology,seagate
Drägerwerk AG & Co. KGaA (formerly 'Draeger Medizintechnik GmbH'),draeger
Alcatel Sistemas de Informacion,alcatel
International Datacasting Corporation,ca
Westpac Banking Corporation,westpac
Marcel Enterprises,aol
SoftWell Performance AB,softwell
SurfControl plc,surfcontrol
Nuance Communications,nuance
Systemintegrering AB,se
Enator Communications AB,se
Criptolab,es
"Wavesat Telecom, Inc.",ca
CryptoConsult,crypto
ASKEY Computer Corp.,askey
Know IT AB,se
Ericsson Wireless LAN Systems,ericsson
"Honeywell Oy, Varkaus",honeywell
Morpho e-documents (formerly 'Sagem Orga GmbH'),morpho
Intuit,intuit
MicroProdigy,netscape
Quantum Corporation,quantum
Stellar One Corporation,stellar
"Advanced Micro Devices, Inc",amd
ICET SpA,ieee
