Company,Vendor
"Fourth Wave Designs, Inc.",wave
"MediaGate, Inc.",mi
"Interactive Online Services, Inc.",aol
TSI - Telecom Systems Ltd.,netvision
"Open Architecture Systems Integration Solutions (OASIS),Inc.",open
Vina Technologies,vt
Hypercore Technology Inc.,ca
Macro4 Open Systems Ltd.,open
RSA Security,rsa
"Siemens Business Communication Systems, Inc.",siemens
Broadcom Eireann Research Ltd.,broadcom
Watkins-Johnson Company,company
Martinho-Davis Systems Inc.,msi
Charleswood & Co.,se
ID Software AS,id
The FreeBSD Project,freebsd
IT Consultancy Engineering Management Group Ltd.,ge
Waffle Productions,idt
THOMSON BROADCAST SYSTEMS,thomson
Workflow Automation Company Ltd.,company
"Advanced-Vision Technologies, Inc.",ati
Acorn Computers Ltd.,acl
Digital Sound Corporation,digital
"Fastlan Solutions, Inc.",fsi
Telinc Corporation,aol
Invisible Fence Sales Company,company
CryptSoft Pty Ltd,cryptsoft
GRASS mbH,gm
INCAA Informatica Italia srl,informatica
Flash Networks Ltd,fnl
Oracom Inc.,oi
N3ERZ,yahoo
Technology Rendezvous Inc.,tri
Dot Hill Systems,dot
Ganymede Software Inc.,gsi
Tele-Communications Inc.,ti
MainControl Inc.,mi
Aurora Communciations Pty. Ltd.,netcomm
BOLL Engineering AG,bea
Red Hat,redhat
Fire Networks Inc.,fire
Repeater Technologies Inc.,rti
Starvision Multimedia Corp.,smc
Alcatel Telecom ASD,alcatel
Pacific Northwest National Laboratory,gov
Tortoise Software Systems,aol
Vision Service Plan,vsp
Best Buy,bestbuy
Shared Network Services (SNS),ca
Packeteer Inc.,pi
Applied Digital Access,digital
"Ericsson, Inc. (formerly 'RedBack Networks')",ericsson
LANCOM Systems,lancom-systems
"Advanced TechCom, Inc.",ati
"NetReality, Inc.",ni
SIBIS Ltd.,synapse
SHARP Corporation,sharp
Captech Communication Inc.,ca
Performance Telecom Corp.,ptc
"ActivCard, Inc.",activcard
"Cognos, Inc.",cognos
Primeur,primeur
"Computer Generation, Inc.",cgi
Baystate Sound & Recording,att
Svenska EDIT AB,se
MLM5000,aol
"Dominio Publico Internet, S.L.",es
"Brocade Communications Systems, Inc. (formerly 'NuView Inc.')",brocade
Uninett,uninett
ENVOY Corporation,envoy
"Brother Industries, Ltd.",brother
Efficient IP,ip
CertiSoft Tecnologia Ltda.,ctl
TUNIX Open System Consultants,open
Helax AB,se
Dynamic Mutual Funds,ca
Guardian Bank p. Zagreb,aol
"Channelmatic-LIMT, Inc.",aol
"GateKey Solutions, Inc.",gsi
"Avici Systems, Inc.",asi
FUJITSU ACCESS LIMITED,fujitsu
"Ministry of Transport, Public Works and Water Management",rws
Phoenix Technologies Ltd.,phoenix
Montana Tel-Net,mt
Inter Clear Service Ltd.,clear
"Internet Systems Consortium, Inc.",isc
Internet Security Systems,iss
Bug Free Development,free
"ARC Technologies Group, Inc.",att
Mantra Communications Inc.,att
Phaos Technology Corp.,ptc
"POWEREDCOM, Inc.",pi
iPass Inc.,ipass
Syseca,thomson
OpNet Inc.,opnet
MRM Consulting,acm.org
Lateral Management Limited,es
Aker Consultoria e Informatica Rodrigo Ormonde,aker
"Netegrity, Inc.",ni
Central Electronic Industry,electronic
AT&T GNMC Amsterdam,att
Comstat DataComm Corporation,cdc
Avery Dennison,avery
"Trikota, Inc.",ti
Diebold Company of Canada Limited Rajan Raman,company
Precise Connectivity Solutions,pcs
Hydro-Quebec TransEnergie,ca
Teracom AB,teracom
"Minolta Co., Ltd.",mol
Exstream PC,aol
Sophos Plc,sophos
Rittal-Werk Rudolf Loh GmbH & Co.KG,rittal
New Prime Inc.,orion
Check Point Software Technologies Ltd,checkpoint
"Amarex Technology, Inc.",ati
ASUSTek Computer Inc.,asus
Wave Wireless Networking,wave
The Esys Corporation,ca
PT Wiryamas Sinar Palapa,id
Compucentre,ca
"Western Telematic, Inc.",western
"Juniper Networks, Inc.",juniper
"Go Ahead Software, Inc.",goahead
Solari di Udine,solari
"NetVenture, Inc.",ni
"Corporate Software & Technologies, INT, Inc.",ca
Fibex Systems,fs
RD6 Inc.,ca
Nexans Suisse SA.,nexans
Netronix Inc.,ni
MetaCommunications. Inc.,mi
Digital Video Broadcasting (DVB),digital
Bayly Communications Inc.,bci
Poznan Supercomputing and Networking Center - POZMAN,man
WACOS Inc.,utstar
Object Zone AB,se
"Institute for Applied Information Processing and Communications,Graz University of Technology",processing
"Mauswerks, Inc.",mi
Dep. of Signal Theory and Communications - UPC,signal
Alcatel Telspace,alcatel
Georgia Tech Research Institute,gatech
"Packard Bell NEC, Inc.",bell
Innovative Data Technology,idt
"Digital Lightwave, Inc.",digital
MIBS-R-US,hp
Sarnoff Real Time Corporation,real
"Palomar Communications, Inc.",ptc
"NetStart, Inc.",ni
Informatica S.p.A.,informatica
Platform Computing Corporation,platform
RandD Computer Services Razvan,wave
Inlab Software GmbH,acm.org
Fourthtrack Systems,fs
Flextel S.p.a.,fs
Neo Networks Inc.,neo
Technical University of Madrid (UPM),es
Sprint PCS,sprint
Fox IT Ltd,foxit
ADP Dealer Services,adp
EFKON,styria
"Teleware Co., Ltd.",tcl
Participants Trust Company,company
"PeopleSoft, Inc.",pi
"Newpoint Technologies, Inc.",kratosdefense
"Disney Regional Entertainment, Inc.",disney
"Ramp Networks, Inc.",ramp
Open Software Associates,open
Procom Technology,procom
University of Notre Dame (Office of Information Technology),nd
HALO Technologies,halo
"NetDox, Inc.",ni
Unex Technology Corporation,utc
"Digital Telecommunications, Inc.",digital
KB Internet Ltd.,kb
Newsnet ITN,ni
Cableware Electronics,aol
Thomson Inc.,thomson
Nortel Networks - Optical Metro,nortel
Technical Insights,ti
"FaxForward Canada, Ltd.",ca
Pepperl+Fuchs Comtrol,pepperl-fuchs
AS Proekspert,ee
Adfm Multimedia Internet,ami
"NanoSpace, Inc.",ni
Smartways Technology Limited,stl
General Electric Company,company
Rambus Corp.,rambus
Net Insight AB,nia
Quantum Corp. (formerly 'Pathlight Technology Inc.'),quantum
"Prominence Dot Com, Inc.",dot
Deutsche Telekom AG,telekom
Argent Software,argent
COCOM A/S,ca
Best Power - A Division of General Signal Power Systems,signal
Global Quest Consaltance,quest
PSINet UK Ltd.,psi
Ericsson Communications Ltd.,ericsson
Netwise AB,se
Digital ChoreoGraphics,digital
Sunstone Enterprises,se
"IP Metrics Software, Inc.",ip
Teligent,se
TOPCALL International,ti
Space & Telecommunications Systems Pte. Ltd.,rad
MediaSoft Telecom,mt
"Arcxel Technologies, Inc.",ati
EnterNet Corporation,aol
Sendit AB,se
Grapevine Systems Inc,gsi
Dialogic Corporation,dialogic
Digital Data Security,digital
Avesta Technologies Inc,ati
Hyundai Electronics America,hyundai
MidAmerican Energy Company (MEC),company
LinickGrp.com,att
Yankee Know-How,aol
Ixia Communications,ixiacom
ice-man refrigeration,aol
"Listing Service Solutions, Inc.",ipass
Elebra Com. Dados,ibm
Virtual Line L.L.P.,line
PRIMA Telematic,ca
NTP Software,ntp
PipeLinks Inc.,pi
"CyberTAN Technology, Inc.",hinet
"FirstSense Software, Inc.",fsi
WatchGuard Technologies Inc.,watchguard
Experian Information Solutions Inc.,experian
